service_id,date,exception_type
12214,20191225,2
12214,20191226,2
12215,20200101,1
12215,20190311,1
12215,20190501,1
12215,20190624,1
12215,20190706,1
12215,20190815,1
12215,20191101,1
12215,20191224,1
12215,20191225,1
12215,20191226,1
12541,20200101,1
12541,20190311,1
12541,20190501,1
12541,20190624,1
12541,20190706,1
12541,20190815,1
12541,20191101,1
12541,20191224,1
12541,20191225,1
12541,20191226,1
12540,20200101,2
12540,20190311,2
12540,20190501,2
12540,20190624,2
12540,20190706,2
12540,20190815,2
12540,20191101,2
12540,20191224,2
12540,20191225,2
12540,20191226,2
13176,20200101,2
13176,20190311,2
13176,20190501,2
13176,20190624,2
13176,20190706,2
13176,20190815,2
13176,20191101,2
13176,20191224,2
13176,20191225,2
13176,20191226,2
13177,20200101,2
13177,20190311,2
13177,20190501,2
13177,20190624,2
13177,20190706,2
13177,20190815,2
13177,20191101,2
13177,20191224,2
13177,20191225,2
13177,20191226,2
13178,20200101,1
13178,20190311,1
13178,20190501,1
13178,20190624,1
13178,20190706,1
13178,20190815,1
13178,20191101,1
13178,20191224,1
13178,20191225,1
13178,20191226,1
13018,20200101,2
13018,20190311,2
13018,20190501,2
13018,20190624,2
13018,20190706,2
13018,20190815,2
13018,20191101,2
13018,20191224,2
13018,20191225,2
13018,20191226,2
13019,20200101,2
13019,20190311,2
13019,20190501,2
13019,20190624,2
13019,20190706,2
13019,20190815,2
13019,20191101,2
13019,20191224,2
13019,20191225,2
13019,20191226,2
13020,20200101,1
13020,20190311,1
13020,20190501,1
13020,20190624,1
13020,20190706,1
13020,20190815,1
13020,20191101,1
13020,20191224,1
13020,20191225,1
13020,20191226,1
12939,20200101,2
12939,20190311,2
12939,20190501,2
12939,20190624,2
12939,20190706,2
12939,20190815,2
12939,20191101,2
12939,20191224,2
12939,20191225,2
12939,20191226,2
12940,20200101,2
12940,20190311,2
12940,20190501,2
12940,20190624,2
12940,20190706,2
12940,20190815,2
12940,20191101,2
12940,20191224,2
12940,20191225,2
